Sucker Creek,456,Alberta,393,350,22,11,0,0,2,2,0,1,947,1094,2822
Swan River First Nation,457,Alberta,217,191,9,9,0,0,0,0,0,1,416,493,1336
Bigstone Cree Nation,458,Alberta,1516,1501,57,74,73,57,3,5,52,38,2183,2371,7930
Whitefish Lake,459,Alberta,638,609,64,68,1,2,14,13,78,102,591,587,2767
Beaver Lake Cree Nation,460,Alberta,206,183,15,9,0,0,0,0,7,3,361,390,1174
Mikisew Cree First Nation,461,Alberta,82,87,31,38,266,234,24,32,2,5,1113,1194,3108
Saddle Lake Cree Nation,462,Alberta,3247,3180,104,87,1,0,2,0,5,9,1841,2103,10579
Athabasca Chipewyan First Nation,463,Alberta,17,11,3,3,95,108,1,0,9,6,473,504,1230
Cold Lake First Nations,464,Alberta,712,626,31,25,1,0,1,0,2,0,680,832,2910
Frog Lake,465,Alberta,903,891,138,137,0,0,0,0,1,3,574,614,3261
Kehewin Cree Nation,466,Alberta,608,530,33,37,0,0,0,0,10,14,412,499,2143
Fort McKay First Nation,467,Alberta,203,205,5,5,2,2,0,0,0,2,210,224,858
Fort McMurray #468 First Nation,468,Alberta,129,146,3,7,0,1,1,0,0,1,215,270,773
Heart Lake,469,Alberta,103,92,8,12,0,0,0,0,0,0,74,62,351
Chipewyan Prairie First Nation,470,Alberta,206,178,7,5,0,0,0,0,0,0,255,284,935
Stoney,471,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0
Bearspaw,473,Alberta,864,898,22,32,0,0,0,0,1,0,77,78,1972
Woodland Cree First Nation,474,Alberta,387,389,9,12,4,2,12,9,0,1,156,145,1126
Wesley,475,Alberta,815,780,34,26,1,1,1,2,0,0,95,97,1852
Loon River Cree,476,Alberta,239,249,5,4,7,4,1,0,0,0,54,56,619
Smith's Landing First Nation,477,Alberta,0,0,0,0,84,75,0,0,1,0,104,95,359
Peerless Trout First Nation,478,Alberta,29,22,4,12,358,374,2,2,7,12,54,59,935
